map_name,route_name_training,condition,key,route_name_actual,map.thisRepN,map.thisTrialN,map.thisN,map.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,map2.thisRepN,map2.thisTrialN,map2.thisN,map2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_text.stopped,consent_key_resp.keys,consent_key_resp.rt,consent_key_resp.started,consent_key_resp.stopped,text_2.started,text_2.stopped,journey_map_2.started,journey_map_2.stopped,routes_training.started,routes_training.stopped,text_3.started,text_3.stopped,training_resp.keys,training_resp.rt,training_resp.started,training_resp.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,journey_map.started,journey_map.stopped,route_actual.started,route_actual.stopped,text_actual.started,text_actual.stopped,response_2.keys,response_2.rt,response_2.started,response_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,ID (INITIALS and TODAYS DATE),date,expName,psychopyVersion,frameRate,compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,2,11,47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,323.1089264,None,322.6113304,323.1249763,i,3.5074155,323.1089264,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,2,12,48,6,,,,,,,,,,,,,,,,,,,,,,,,,,,327.2601253,None,326.7631735,327.2844005,e,2.2464891,327.2601253,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,2,13,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,330.1863737,None,329.686846,330.2032004,i,1.2658204,330.1863737,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,2,14,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,332.097369,None,331.5999711,332.1144111,i,0.5185281,332.097369,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,2,15,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,333.2646193,None,332.7777581,333.2824343,e,0.664575,333.2646193,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,2,16,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,334.5824482,None,334.0835375,334.5824482,e,0.942327,334.5824482,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,2,17,53,17,,,,,,,,,,,,,,,,,,,,,,,,,,,336.1612728,None,335.6691594,336.1789963,e,3.1188691,336.1612728,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,178.4424314,None,177.9435737,178.4589748,i,34.6530469,178.4424314,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,i,routes_actual/p2_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8545305,None,213.3561163,213.8709896,e,18.1231205,213.8545305,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,232.7854399,None,232.2920389,232.8021115,e,21.392117,232.7854399,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,254.9325165,None,254.4341492,254.9493291,e,27.3693915,254.9325165,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0122202,None,282.5220028,283.0290498,i,9.8982676,283.0122202,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,293.5942953,None,293.1082298,293.6109132,e,10.0221749,293.5942953,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,304.4263981,None,303.9419019,304.4426898,i,8.7710282,304.4263981,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,313.9084597,None,313.416474,313.9249258,e,7.0354482,313.9084597,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,321.6407403,None,321.1442854,321.6574096,i,3.2252325,321.6407403,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,325.5401253,None,325.039877,325.5401253,i,2.6362211,325.5401253,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,328.8565674,None,328.358156,328.8730879,i,1.9393427,328.8565674,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,331.4728093,None,330.9733849,331.4728093,e,6.8486638,331.4728093,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,338.9884486,None,338.4884364,338.9884486,e,3.5584261,338.9884486,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,343.2213408,None,342.728082,343.23802,i,5.9976919,343.2213408,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,349.8872461,None,349.3943361,349.9037684,i,4.7908244,349.8872461,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,355.353006,None,354.8593424,355.369805,i,1.1700024,355.353006,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,357.1861933,None,356.6988397,357.2028549,i,1.160701,357.1861933,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,17,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0192919,None,358.5222325,359.0358026,i,2.3842078,359.0192919,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,0,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0521782,None,361.5599999,362.0688859,i,3.6026231,362.0521782,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,1,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,366.3017467,None,365.8128249,366.3182886,i,1.3429384,366.3017467,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,2,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,368.2513533,None,367.768281,368.2679239,e,1.8907753,368.2513533,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,3,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,370.7845144,None,370.2990764,370.8009742,i,3.5724446,370.7845144,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,4,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0005374,None,374.511339,375.0171052,i,2.0222783,375.0005374,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,5,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,377.6668202,None,377.1795971,377.6835758,i,5.3402971,377.6668202,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,6,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,383.6494866,None,383.1600205,383.6660226,e,7.9279694,383.6494866,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,7,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,392.2150405,None,391.7230802,392.2318764,i,4.9801674,392.2150405,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,8,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,397.8310942,None,397.3429064,397.8477572,e,0.3490874,397.8310942,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,9,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,398.8144502,None,398.3249772,398.8309486,i,0.3137182,398.8144502,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,10,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,399.7642814,None,399.2774868,399.7808936,e,0.1953589,399.7642814,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,11,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,400.5973199,None,400.109308,400.6137867,e,1.3290562,400.5973199,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,i,routes_actual/p2_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,12,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,402.5637329,None,402.07371,402.5803499,e,1.5470926,402.5637329,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,13,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,404.7634278,None,404.2635204,404.7634278,i,1.2724398,404.7634278,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,14,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,406.6799493,None,406.1889712,406.6963796,e,0.559902,406.6799493,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,15,33,17,,,,,,,,,,,,,,,,,,,,,,,,,,,407.8796717,None,407.3925959,407.8965038,i,0.3051123,407.8796717,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,16,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,408.8296649,None,408.3369458,408.8464621,e,0.3581814,408.8296649,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,17,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,409.8295433,None,409.3397536,409.8462193,i,0.3902127,409.8295433,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,2,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,410.862554,None,410.3737935,410.8794366,e,0.406193,410.862554,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,2,1,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,411.9125525,None,411.4215698,411.9291258,e,1.7330346,411.9125525,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,2,2,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,414.2956178,None,413.8062288,414.312136,i,0.2705882,414.2956178,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,2,3,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,415.2121282,None,414.7202416,415.2289034,e,0.3459076,415.2121282,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,2,4,40,12,,,,,,,,,,,,,,,,,,,,,,,,,,,416.2119836,None,415.7201008,416.2286579,i,0.2668276,416.2119836,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,2,5,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,417.1117733,None,416.6202116,417.1286022,e,0.4047412,417.1117733,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,i,routes_actual/p2_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,2,6,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,418.161843,None,417.6772808,418.1783731,i,2.7597369,418.161843,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,2,7,43,17,,,,,,,,,,,,,,,,,,,,,,,,,,,421.5612853,None,421.073321,421.5779179,i,2.8941578,421.5612853,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,2,8,44,16,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0942309,None,424.6084916,425.1107386,i,1.1239669,425.0942309,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,2,9,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,426.8773569,None,426.3923736,426.8940925,e,0.9901791,426.8773569,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,2,10,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,428.5103322,None,428.0203342,428.5272486,i,1.4276923,428.5103322,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,2,11,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,430.5767544,None,430.0867551,430.5934768,e,0.7191814,430.5767544,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,2,12,48,10,,,,,,,,,,,,,,,,,,,,,,,,,,,431.9432111,None,431.4540022,431.9597804,e,0.3550606,431.9432111,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,2,13,49,11,,,,,,,,,,,,,,,,,,,,,,,,,,,432.9606486,None,432.470485,432.9765612,i,0.5654701,432.9606486,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,2,14,50,13,,,,,,,,,,,,,,,,,,,,,,,,,,,434.1595794,None,433.671126,434.1763964,i,0.4847644,434.1595794,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,2,15,51,4,,,,,,,,,,,,,,,,,,,,,,,,,,,435.2929241,None,434.8054328,435.30947,e,0.381493,435.2929241,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,2,16,52,8,,,,,,,,,,,,,,,,,,,,,,,,,,,436.3093558,None,435.8214507,436.3261635,e,2.1993824,436.3093558,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,2,17,53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,439.1424593,None,438.6516912,439.1590633,i,0.60591,439.1424593,None,,,,,,,SC030220,2020_Feb_03_1456,FOCO (colour),3.2.4,59.87790894,not compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,342.7296869,None,342.236594,342.7463835,i,21.0628532,342.7296869,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,364.4781348,None,363.9937299,364.4945337,i,13.3081487,364.4781348,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,378.4762526,None,377.9877022,378.493132,i,8.1420144,378.4762526,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,387.3085173,None,386.8236228,387.3253692,i,16.2449458,387.3085173,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,404.2232203,None,403.7327804,404.2397272,i,13.3367379,404.2232203,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,418.2213379,None,417.7356797,418.237485,i,5.2096619,418.2213379,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0870258,None,423.6009301,424.1036641,i,8.7021988,424.0870258,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,433.468937,None,432.976396,433.4860337,i,8.1770218,433.468937,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,442.2497923,None,441.7543605,442.2664004,i,9.5515173,442.2497923,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,9,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,452.5666559,None,452.06943,452.5835653,i,4.6250123,452.5666559,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f2,i,routes_actual/p2_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,457.8661006,None,457.3744676,457.8827218,i,16.7221117,457.8661006,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,475.2473462,None,474.7700875,475.280584,i,5.6845341,475.2473462,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,481.6296187,None,481.1335318,481.6464049,e,12.4133654,481.6296187,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,13,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,494.7113614,None,494.2137689,494.728077,e,2.7563793,494.7113614,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,498.1442795,None,497.6527427,498.1609676,i,1.5846982,498.1442795,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,500.3938954,None,499.901171,500.4105649,i,1.4249134,500.3938954,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,502.4935104,None,502.0022287,502.5103153,i,5.4790498,502.4935104,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,17,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,508.7263421,None,508.2409101,508.742901,i,2.3400261,508.7263421,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,0,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,511.6924186,None,511.2165361,511.7258273,i,2.8401759,511.6924186,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,1,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,515.1916413,None,514.6924141,515.1916413,e,13.7595594,515.1916413,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
