map_name,route_name_training,condition,key,route_name_actual,map.thisRepN,map.thisTrialN,map.thisN,map.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,map2.thisRepN,map2.thisTrialN,map2.thisN,map2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_text.stopped,consent_key_resp.keys,consent_key_resp.rt,consent_key_resp.started,consent_key_resp.stopped,text_2.started,text_2.stopped,journey_map_2.started,journey_map_2.stopped,routes_training.started,routes_training.stopped,text_3.started,text_3.stopped,training_resp.keys,training_resp.rt,training_resp.started,training_resp.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,journey_map.started,journey_map.stopped,route_actual.started,route_actual.stopped,text_actual.started,text_actual.stopped,response_2.keys,response_2.rt,response_2.started,response_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,ID (INITIALS and TODAYS DATE),date,expName,psychopyVersion,frameRate,compensated, 
,,green c,i,routes_actual/p1_L_blank_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,299.7748715,None,299.2930309,299.8084818,i,8.909710746,299.7748715,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_blank_f1.jpg,,,,,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,309.3295077,None,308.8480689,309.3635688,i,3.386830401,309.3295077,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_blank_f1.jpg,,,,,,,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,313.3648448,None,312.8672548,313.3810785,i,8.112446425,313.3648448,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green c,i,routes_actual/p2_L_blank_f1xR_tick_f1.jpg,,,,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,322.1186864,None,321.6518202,322.152464,e,22.5997253,322.1186864,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green f1,i,routes_actual/p2_L_blank_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,345.3630121,None,344.8792088,345.3796274,i,6.96762188,345.3630121,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,compensated
,,green f2,i,routes_actual/p3_L_blank_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,352.966789,None,352.4831441,352.9835568,i,3.72037396,352.966789,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,compensated
,,green f2,i,routes_actual/p2_L_blank_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,357.3356196,None,356.8512868,357.3523762,e,7.795502304,357.3356196,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green f1,i,routes_actual/p1_L_blank_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,365.7728666,None,365.2887141,365.7894199,e,3.569295765,365.7728666,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_blank_f1.jpg,,,,,,,,,,,,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,369.9916849,None,369.4927936,370.0084403,i,3.138205656,369.9916849,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_blank_f1.jpg,,,,,,,,,,,,,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,373.776398,None,373.2938111,373.7932249,i,8.32516616,373.776398,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
,,green f1,i,routes_actual/p3_L_blank_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,382.7474664,None,382.267112,382.7815616,e,2.642061395,382.7474664,None,,,,,,,CK28022020,2020_Feb_28_1603,FOCO (control),3.2.4,59.93123706,not compensated
